category,job_name,job_description,skill_requirements,education_requirements,experience_requirements,base_hourly_rate,max_hourly_rate,base_annual_salary,max_annual_salary
GREEN INFRASTRUCTURE & LANDSCAPING,Green Infrastructure Specialist,"Combines urban forestry, landscaping, and environmental maintenance to create and maintain sustainable green spaces. Responsibilities include tree care, landscape design and maintenance, habitat restoration, invasive species management, and supporting urban environmental health through integrated green infrastructure projects. Works on parks, greenways, urban forests, and green stormwater management systems.","Knowledge of horticulture, urban forestry, and landscape maintenance; plant identification and care; ability to operate landscape equipment; physical stamina for outdoor work; understanding of ecological principles; basic knowledge of green infrastructure systems",High school diploma or GED; no college degree required; specialized training in landscaping or urban forestry beneficial,"Entry-level positions available; prior experience in landscaping, forestry, or grounds maintenance preferred",15.0,25.0,31200,52000
GREEN INFRASTRUCTURE & LANDSCAPING,Parks and Recreation Maintenance Worker,"Maintains public parks, recreational areas, and green spaces to ensure they remain safe, clean, and functional for community use. Performs general grounds maintenance including mowing, trimming, debris removal, trail maintenance, playground upkeep, and facility maintenance. Supports park beautification efforts and special events.",Grounds maintenance knowledge; equipment operation abilities; physical stamina for outdoor work; basic plant care understanding; customer service skills for public interaction; safety awareness,High school diploma or GED; no college degree required; safety training provided on the job,Entry-level position; previous landscaping or grounds maintenance experience preferred,15.0,17.0,31200,35360
GREEN INFRASTRUCTURE & LANDSCAPING,Tree Care Specialist,"Performs skilled tree maintenance including pruning, removal, and health assessment. Uses climbing techniques or aerial equipment to access tree canopies for maintenance work. Follows arboricultural best practices to maintain urban forest health, remove hazardous limbs, and clear utility lines while preserving tree canopy.",Advanced tree climbing skills; knowledge of pruning techniques and tree biology; chainsaw and equipment operation; tree risk assessment abilities; physical strength and agility; safety consciousness,High school diploma or GED; specialized arboriculture training preferred; industry certifications beneficial,Tree climbing experience required; 1-2 years professional tree care experience preferred,18.0,25.0,37440,52000
GREEN INFRASTRUCTURE & LANDSCAPING,Ecological Restoration Technician,"Implements habitat restoration projects to rehabilitate degraded ecosystems and enhance biodiversity. Performs invasive species removal, native plant installation, erosion control, and site maintenance. Assists with monitoring project outcomes and collecting field data to support ecosystem restoration efforts.",Knowledge of ecological principles and restoration techniques; plant identification expertise; invasive species management experience; data collection abilities; physical stamina for outdoor fieldwork; attention to detail,High school diploma or GED; environmental science coursework beneficial; specialized restoration training can be developed on the job,"Entry-level positions available; prior experience in landscaping, forestry, or conservation beneficial",16.0,22.0,33280,45760
ENVIRONMENTAL REMEDIATION & INFRASTRUCTURE,Environmental Services Technician,"Performs manual labor to maintain and improve environmental infrastructure. Responsibilities include site cleanup operations, environmental monitoring, waste management support, and assistance with remediation projects. Contributes to initiatives aimed at improving air and water quality and addressing environmental contamination.",Physical ability for manual labor; basic environmental safety knowledge; ability to work with hazardous materials (with proper training); attention to safety procedures; reliable attendance; basic mechanical aptitude,High school diploma or GED; no college degree required; on-the-job training provided; OSHA safety training may be required,Entry-level position; previous general labor or environmental work beneficial,14.0,20.0,29000,41600
ENVIRONMENTAL REMEDIATION & INFRASTRUCTURE,Building Systems Maintenance Technician,"Performs routine and preventative maintenance on building mechanical, electrical, and plumbing systems. Conducts inspections, diagnoses problems, and makes repairs to ensure efficient building operations. Maintains HVAC systems, addresses electrical and plumbing issues, and supports facility energy efficiency initiatives.","Knowledge of building systems (HVAC, electrical, plumbing); proficiency with tools; ability to read technical manuals; problem-solving skills; physical ability for confined space work; safety consciousness",High school diploma or GED; technical training in building maintenance beneficial; trade certifications can be obtained through on-the-job experience,Two years experience in building maintenance or related fields; experience with various trade skills preferred,18.0,28.0,37500,58240
ENVIRONMENTAL REMEDIATION & INFRASTRUCTURE,General Maintenance Worker,"Performs unskilled and semi-skilled manual work for construction, maintenance, and upkeep of facilities and infrastructure. Duties include construction project assistance, grounds maintenance, debris collection, repair operation support, and basic equipment operation as part of infrastructure improvement initiatives.",Physical ability for manual labor; basic equipment operation skills; willingness to work outdoors; ability to follow instructions; understanding of safety protocols; team-oriented work ethic,High school diploma or GED; no college degree required; on-the-job training provided,Entry-level position; previous construction or general labor experience beneficial,14.0,18.0,29120,37440
ENVIRONMENTAL REMEDIATION & INFRASTRUCTURE,Water Quality Technician,"Monitors and maintains water quality in treatment facilities, reservoirs, and distribution systems. Collects water samples, conducts laboratory analysis, operates treatment equipment, and ensures compliance with drinking water regulations. Works to protect public health and environmental quality through water safety maintenance.",Knowledge of water quality testing methods; laboratory skills; understanding of treatment processes; ability to operate monitoring equipment; data recording capabilities; attention to detail and accuracy,High school diploma or GED; technical training in water technology beneficial; water treatment certification can be obtained while working,Entry-level positions available; prior experience in water treatment or environmental testing preferred,18.0,25.0,37440,52000
ENVIRONMENTAL REMEDIATION & INFRASTRUCTURE,Waste Management Technician,"Implements sustainable waste collection, sorting, recycling, and disposal practices. Operates collection vehicles, manages recycling operations, assists with waste audits, and helps develop waste reduction strategies. Contributes to environmental protection by ensuring proper waste stream handling and maximizing resource recovery.",Knowledge of waste management regulations; understanding of recycling processes; ability to operate collection equipment; physical stamina; safety consciousness; customer service skills; attention to detail for waste sorting,High school diploma or GED; vocational training in environmental services beneficial; hazardous waste handling certifications often provided by employer,Entry-level positions available; prior experience in waste management or environmental services preferred,15.0,22.0,31200,45760
ENVIRONMENTAL REMEDIATION & INFRASTRUCTURE,Weatherization Technician,"Installs energy efficiency measures in homes and buildings to reduce energy consumption and improve indoor comfort. Performs energy audits, installs weatherization materials, seals air leaks, and upgrades building systems for greater efficiency. Focuses on serving households through energy assistance programs.",Knowledge of building science and energy efficiency; experience with weatherization techniques; basic construction skills; ability to use diagnostic tools; safety awareness; physical ability for confined space work,High school diploma or GED; weatherization training certification preferred; BPI Building Analyst certification beneficial,Entry-level positions available with training; prior construction or home improvement experience preferred,16.0,25.0,33280,52000
ENVIRONMENTAL EDUCATION & OUTREACH,Environmental Education Specialist,"Develops and delivers environmental education programs for schools, nature centers, parks, and community organizations. Creates engaging curriculum, leads outdoor activities, facilitates hands-on learning experiences, and inspires environmental stewardship through education about local ecology, conservation, and environmental issues.",Knowledge of environmental science and ecology; teaching and facilitation skills; curriculum development abilities; public speaking capabilities; creativity and enthusiasm; outdoor leadership skills; first aid certification,High school diploma or GED; environmental science or education coursework beneficial; teaching experience or environmental education training helpful,"Prior teaching, program leadership, or youth work experience preferred; background in outdoor education or interpretive services valuable",16.0,22.0,33280,45760
ENVIRONMENTAL EDUCATION & OUTREACH,Guest Experience and Education Coordinator,"Engages with visitors through educational programming about environmental conservation and stewardship. Presents formal and informal educational programs, conducts guided tours, facilitates interactive exhibits, and answers visitor questions about ecosystems and conservation initiatives in museums, aquariums, or nature centers.",Excellent public speaking and presentation skills; knowledge of environmental science or conservation; ability to engage diverse audiences; customer service orientation; enthusiasm for education; adaptability and quick thinking,High school diploma required; environmental science coursework beneficial; training in interpretation provided on the job,"Prior experience in education, customer service, or public speaking preferred; experience with children in educational settings helpful",15.0,18.0,31200,37440
ENVIRONMENTAL EDUCATION & OUTREACH,Youth Program Assistant,"Supports implementation of environmental and outdoor-focused programs for children and youth. Assists with daily activities, supervises participants during nature explorations, leads environmental games and crafts, helps with outdoor skill development, and ensures participant safety in nature-based educational settings.",Experience working with children; enthusiasm for outdoor activities; ability to maintain safe environments; energy and creativity; basic environmental knowledge; first aid and CPR certification; strong communication skills,High school diploma or GED; youth development training helpful; first aid training required,Entry-level position; previous experience with children in educational or recreational settings preferred,15.0,17.0,,
ENVIRONMENTAL EDUCATION & OUTREACH,Community Outreach Coordinator,"Coordinates volunteer programs and community engagement initiatives for environmental organizations. Assists with visitor services, conducts interpretive programs about local ecology, maintains natural areas, monitors wildlife, and participates in habitat restoration efforts while engaging the public in environmental stewardship.",Interest in environmental conservation; good communication and interpersonal skills; ability to work outdoors; willingness to learn about local ecology; reliability and commitment; enthusiasm for public engagement,High school diploma or equivalent; no college degree required; training provided by organization,No prior experience required; volunteer experience or customer service background beneficial,,,,
RENEWABLE ENERGY - SOLAR,Solar Installation Technician,"Installs solar photovoltaic systems on residential and commercial properties. Responsible for mounting solar panels, installing racking systems, connecting electrical components, and ensuring proper system integration. Follows blueprints and design specifications while adhering to safety protocols and building codes.",Physical ability to work on rooftops and lift heavy materials; basic electrical knowledge; proficiency with tools; comfort working at heights; attention to detail; ability to follow technical instructions; safety consciousness,High school diploma or GED; vocational training in construction or electrical work beneficial; OSHA safety training required; solar certifications helpful,"Entry-level positions available; construction, roofing, or electrical experience beneficial",16.0,25.0,33280,72800
RENEWABLE ENERGY - SOLAR,Solar Systems Technician,"Provides maintenance, troubleshooting, and repair services for installed solar systems. Diagnoses and resolves electrical issues with inverters, panels, batteries, and monitoring systems. Conducts preventive maintenance and communicates with customers about system operation to ensure optimal performance.",Strong knowledge of electrical systems and solar technology; advanced troubleshooting abilities; proficiency with electrical testing equipment; ability to read diagrams; customer service skills; problem-solving abilities,High school diploma or GED; technical training in electrical systems preferred; solar certifications beneficial; electrical license preferred,1-3 years experience in solar installation or electrical work; experience troubleshooting PV systems preferred,22.0,35.0,45760,72800
RENEWABLE ENERGY - SOLAR,DC Power Systems Technician,"Responsible for installation, maintenance, and repair of DC power systems used in solar energy applications. Performs electrical work including wiring, troubleshooting, and testing of solar panels, inverters, batteries, and associated equipment to maximize system efficiency and reliability.",Strong understanding of DC electrical systems; ability to read electrical schematics; troubleshooting and diagnostic skills; knowledge of electrical safety procedures; proficiency with testing equipment; attention to detail,High school diploma or GED; technical training in electrical systems preferred; solar certifications beneficial; safety training required,Entry-level positions available; 1-2 years electrical work experience preferred; renewable energy experience beneficial,18.0,28.0,37440,58240
